,Profile Páginas amarillas,partial url,Nombre organización,Telefono,Direccion,Categorias
0,https://amarillas.emol.com/empresa/2000914/abogado-sergio-diaz,/empresa/2000914/abogado-sergio-diaz,Abogado Sergio Diaz,(9) 85024319,Prat 350 Ofi. 706,categorías ABOGADOS ABOGADOS DERECHO PENAL DEFENSOR PENAL ABOGADOS PENALISTAS ESTUDIO JURIDICO DERECHO PENAL DEFENSORIAS PENALES CODIGO PENAL ABOGADOS DE JUICIOS
1,https://amarillas.emol.com/empresa/31529/schneider-abogados,/empresa/31529/schneider-abogados,,,,
2,https://amarillas.emol.com/empresa/525013/mauricio-caussade-goycoolea,/empresa/525013/mauricio-caussade-goycoolea,Mauricio Caussade Goycoolea,(2) 982292139,"Av. Kennedy Lateral 5488, oficina 203",categorías ABOGADOS
3,https://amarillas.emol.com/empresa/2000127/abogados-r-r,/empresa/2000127/abogados-r-r,ABOGADOS R & R,(2) 26952980,La Concepción 81 oficina 319,categorías ABOGADO TRIBUTARIO
4,https://amarillas.emol.com/empresa/30550/maria-ignacia-ferrada-abogada-de-familia,/empresa/30550/maria-ignacia-ferrada-abogada-de-familia,María Ignacia Ferrada Abogada de Familia,(9)56179819,"Antonio Varas 989, Of. 1301",categorías ABOGADOS DE FAMILIA
5,https://amarillas.emol.com/empresa/2001517/abogados-mqm-valdivia,/empresa/2001517/abogados-mqm-valdivia,Abogados MQM Valdivia,(9) 94094812,alonso de benitez 1904,categorías ABOGADOS DERECHO CIVIL
6,https://amarillas.emol.com/empresa/2001911/bck-abogadosy-contadores-auditores,/empresa/2001911/bck-abogadosy-contadores-auditores,BCK ABOGADOSY CONTADORES AUDITORES,(9) 88641750,Arlequi 263 piso 6,categorías OFICINA VIRTUAL NORMALIZACION PROBLEMAS TRIBUTARIOS EN SII CREACION DE EMPRESAS EXTRANJERAS RUT DE INVERSIONISTA EXTRANJERO ASESORIA LEGAL Y CONTABLE ABOGADOS Y CONTADORES INICIO DE ACTIVIDAD SERVICIO CONTABLE PARA PYMES PATENTE COMERCIAL CONTADORES
7,https://amarillas.emol.com/empresa/2001904/bcg-contadores-auditores-y-abogados,/empresa/2001904/bcg-contadores-auditores-y-abogados,BCG CONTADORES AUDITORES Y ABOGADOS,(9) 56783322,Eizaguirre 450 piso 2 .,categorías AUDITORES CONTADORES CONTABILIDADES ASESORIAS TRIBUTARIAS Y CONTABLES ABOGADOS TRIBUTARIOS ADMINISTRACION DE EDIFICIOS CONSTITUCION DE SOCIEDADES Y OFICINA VIRTUAL DEUDAS TRIBUTARIAS SERVICIO DE REMUNERACIONES SERVICIO CONTABLE PARA COLEGIOS
8,https://amarillas.emol.com/empresa/2001909/bcm-contadores-auditores-y-abogados,/empresa/2001909/bcm-contadores-auditores-y-abogados,BCM CONTADORES AUDITORES Y ABOGADOS,(9) 88641750,Paseo Baquedano 1129,categorías AUDITORES CONTADORES CONTABILIDADES ASESORIAS TRIBUTARIAS Y CONTABLES CONSTITUCION DE SOCIEDADES Y OFICINA VIRTUAL ABOGADOS TRIBUTARIOS ADMINISTRACION DE EDIFICIOS DEUDAS TRIBUTARIAS SERVICIO DE REMUNERACIONES SERVICIO CONTABLE PARA COLEGIOS
9,https://amarillas.emol.com/empresa/2000582/abogados-lex-juicios,/empresa/2000582/abogados-lex-juicios,abogados lex juicios,(2) 64655483,San Antonio 19 oficina 1003,categorías ABOGADOS ASESORIAS JURIDICAS
10,https://amarillas.emol.com/empresa/2000929/abogados-maipu,/empresa/2000929/abogados-maipu,Abogados Maipu,(9) 89283799,General Ordoñez 30,categorías ABOGADOS DE FAMILIA
11,https://amarillas.emol.com/empresa/2001910/bck-abogados-y-contadores-auditores,/empresa/2001910/bck-abogados-y-contadores-auditores,BCK ABOGADOS Y CONTADORES AUDITORES,(9) 88641750,Avenida Providencia 1208 Piso 16,categorías OFICINA VIRTUAL CREACION DE EMPRESAS EXTRANJERAS RUT DE INVERSIONISTA EXTRANJERO ASESORIA LEGAL Y CONTABLE ABOGADOS Y CONTADORES SERVICIO CONTABLE PARA PYMES INICIO DE ACTIVIDAD PATENTE COMERCIAL NORMALIZACION PROBLEMAS TRIBUTARIOS EN SII CONTADORES
